yyyymmdd,is_member,rides
2014-04-15,0,48
2014-04-15,1,1529
2014-04-16,0,135
2014-04-16,1,3045
2014-04-17,0,413
2014-04-17,1,5439
2014-04-18,0,566
2014-04-18,1,4759
2014-04-19,0,1159
2014-04-19,1,4872
2014-04-20,0,1417
2014-04-20,1,4641
2014-04-21,0,927
2014-04-21,1,5912
2014-04-22,0,249
2014-04-22,1,4480
2014-04-23,0,415
2014-04-23,1,8209
2014-04-24,0,789
2014-04-24,1,9787
2014-04-25,0,1123
2014-04-25,1,10728
2014-04-26,0,294
2014-04-26,1,2612
2014-04-27,0,609
2014-04-27,1,5295
2014-04-28,0,751
2014-04-28,1,9918
2014-04-29,0,913
2014-04-29,1,11325
2014-04-30,0,317
2014-04-30,1,5588
2014-05-01,0,537
2014-05-01,1,8444
2014-05-02,0,944
2014-05-02,1,11415
2014-05-03,0,1301
2014-05-03,1,7927
2014-05-04,0,345
2014-05-04,1,3462
2014-05-05,0,743
2014-05-05,1,11463
2014-05-06,0,1097
2014-05-06,1,13853
2014-05-07,0,1447
2014-05-07,1,15035
2014-05-08,0,1553
2014-05-08,1,15590
2014-05-09,0,1123
2014-05-09,1,13505
2014-05-10,0,2325
2014-05-10,1,11785
2014-05-11,0,2534
2014-05-11,1,10718
2014-05-12,0,1380
2014-05-12,1,16066
2014-05-13,0,966
2014-05-13,1,14784
2014-05-14,0,1259
2014-05-14,1,16339
2014-05-15,0,1609
2014-05-15,1,17436
2014-05-16,0,546
2014-05-16,1,8096
2014-05-17,0,1795
2014-05-17,1,9590
2014-05-18,0,3624
2014-05-18,1,10391
2014-05-19,0,2888
2014-05-19,1,11302
2014-05-20,0,1980
2014-05-20,1,17537
2014-05-21,0,1733
2014-05-21,1,18439
2014-05-22,0,1022
2014-05-22,1,12999
2014-05-23,0,1457
2014-05-23,1,16111
2014-05-24,0,4369
2014-05-24,1,12923
2014-05-25,0,4603
2014-05-25,1,12345
2014-05-26,0,1519
2014-05-26,1,12340
2014-05-27,0,494
2014-05-27,1,8746
2014-05-28,0,930
2014-05-28,1,13403
2014-05-29,0,1954
2014-05-29,1,18522
2014-05-30,0,2022
2014-05-30,1,16611
2014-05-31,0,4287
2014-05-31,1,13698
2014-06-01,0,4192
2014-06-01,1,13249
2014-06-02,0,2485
2014-06-02,1,17813
2014-06-03,0,1110
2014-06-03,1,12071
2014-06-04,0,1714
2014-06-04,1,18133
2014-06-05,0,1254
2014-06-05,1,15892
2014-06-06,0,2193
2014-06-06,1,17390
2014-06-07,0,4647
2014-06-07,1,14898
2014-06-08,0,3554
2014-06-08,1,13405
2014-06-09,0,1792
2014-06-09,1,18125
2014-06-10,0,1756
2014-06-10,1,17572
2014-06-11,0,1229
2014-06-11,1,15315
2014-06-12,0,329
2014-06-12,1,6498
2014-06-13,0,439
2014-06-13,1,7891
2014-06-14,0,2135
2014-06-14,1,11630
2014-06-15,0,2880
2014-06-15,1,13345
2014-06-16,0,1718
2014-06-16,1,18364
2014-06-17,0,1574
2014-06-17,1,18311
2014-06-18,0,1559
2014-06-18,1,19249
2014-06-19,0,2046
2014-06-19,1,21557
2014-06-20,0,2363
2014-06-20,1,18841
2014-06-21,0,3433
2014-06-21,1,12711
2014-06-22,0,3620
2014-06-22,1,12804
2014-06-23,0,2352
2014-06-23,1,16992
2014-06-24,0,856
2014-06-24,1,5161
2014-06-25,0,1417
2014-06-25,1,16785
2014-06-26,0,2338
2014-06-26,1,20424
2014-06-27,0,2979
2014-06-27,1,19263
2014-06-28,0,4942
2014-06-28,1,13586
2014-06-29,0,4338
2014-06-29,1,12754
2014-06-30,0,2908
2014-06-30,1,15682
2014-07-01,0,2700
2014-07-01,1,13315
2014-07-02,0,2159
2014-07-02,1,19259
2014-07-03,0,1904
2014-07-03,1,17869
2014-07-04,0,2923
2014-07-04,1,17375
2014-07-05,0,4835
2014-07-05,1,13638
2014-07-06,0,3567
2014-07-06,1,12858
2014-07-07,0,821
2014-07-07,1,12052
2014-07-08,0,1345
2014-07-08,1,17268
2014-07-09,0,1428
2014-07-09,1,19071
2014-07-10,0,1882
2014-07-10,1,20297
2014-07-11,0,2360
2014-07-11,1,19987
2014-07-12,0,3550
