yyyymm,yyyy,mmm,trip_length,rides,is_member
2014-04,2014,Apr,00-10 min,2438,0
2014-04,2014,Apr,11-20 min,3683,0
2014-04,2014,Apr,21-30 min,2372,0
2014-04,2014,Apr,> 30 min,1632,0
2014-04,2014,Apr,00-10 min,55395,1
2014-04,2014,Apr,11-20 min,29487,1
2014-04,2014,Apr,21-30 min,9642,1
2014-04,2014,Apr,> 30 min,3615,1
2014-05,2014,May,00-10 min,11773,0
2014-05,2014,May,11-20 min,20173,0
2014-05,2014,May,21-30 min,13602,0
2014-05,2014,May,> 30 min,8838,0
2014-05,2014,May,00-10 min,203498,1
2014-05,2014,May,11-20 min,129425,1
2014-05,2014,May,21-30 min,48475,1
2014-05,2014,May,> 30 min,19477,1
2014-06,2014,Jun,00-10 min,14679,0
2014-06,2014,Jun,11-20 min,25907,0
2014-06,2014,Jun,21-30 min,17958,0
2014-06,2014,Jun,> 30 min,11608,0
2014-06,2014,Jun,00-10 min,220608,1
2014-06,2014,Jun,11-20 min,151836,1
2014-06,2014,Jun,21-30 min,59001,1
2014-06,2014,Jun,> 30 min,24266,1
2014-07,2014,Jul,00-10 min,14639,0
2014-07,2014,Jul,11-20 min,27963,0
2014-07,2014,Jul,21-30 min,18994,0
2014-07,2014,Jul,> 30 min,12359,0
2014-07,2014,Jul,00-10 min,243818,1
2014-07,2014,Jul,11-20 min,165496,1
2014-07,2014,Jul,21-30 min,61764,1
2014-07,2014,Jul,> 30 min,24319,1
2014-08,2014,Aug,00-10 min,17143,0
2014-08,2014,Aug,11-20 min,32522,0
2014-08,2014,Aug,21-30 min,23975,0
2014-08,2014,Aug,> 30 min,15859,0
2014-08,2014,Aug,00-10 min,234293,1
2014-08,2014,Aug,11-20 min,153634,1
2014-08,2014,Aug,21-30 min,56673,1
2014-08,2014,Aug,> 30 min,22681,1
2014-09,2014,Sep,00-10 min,9082,0
2014-09,2014,Sep,11-20 min,14974,0
2014-09,2014,Sep,21-30 min,10462,0
2014-09,2014,Sep,> 30 min,6650,0
2014-09,2014,Sep,00-10 min,228659,1
2014-09,2014,Sep,11-20 min,140059,1
2014-09,2014,Sep,21-30 min,49407,1
2014-09,2014,Sep,> 30 min,18252,1
2014-10,2014,Oct,00-10 min,4599,0
2014-10,2014,Oct,11-20 min,7570,0
2014-10,2014,Oct,21-30 min,4992,0
2014-10,2014,Oct,> 30 min,3464,0
2014-10,2014,Oct,00-10 min,178459,1
2014-10,2014,Oct,11-20 min,93826,1
2014-10,2014,Oct,21-30 min,29144,1
2014-10,2014,Oct,> 30 min,9764,1
2014-11,2014,Nov,00-10 min,1047,0
2014-11,2014,Nov,11-20 min,1308,0
2014-11,2014,Nov,21-30 min,771,0
2014-11,2014,Nov,> 30 min,489,0
2014-11,2014,Nov,00-10 min,66848,1
2014-11,2014,Nov,11-20 min,30175,1
2014-11,2014,Nov,21-30 min,8165,1
2014-11,2014,Nov,> 30 min,2590,1
2015-04,2015,Apr,00-10 min,3336,0
