rides,yyyymmdd
1577,2014-04-15
3180,2014-04-16
5852,2014-04-17
5325,2014-04-18
6031,2014-04-19
6058,2014-04-20
6839,2014-04-21
4729,2014-04-22
8624,2014-04-23
10576,2014-04-24
11851,2014-04-25
2906,2014-04-26
5904,2014-04-27
10669,2014-04-28
12238,2014-04-29
5905,2014-04-30
8981,2014-05-01
12359,2014-05-02
9228,2014-05-03
3807,2014-05-04
12206,2014-05-05
14950,2014-05-06
16482,2014-05-07
17143,2014-05-08
14628,2014-05-09
14110,2014-05-10
13252,2014-05-11
17446,2014-05-12
15750,2014-05-13
17598,2014-05-14
19045,2014-05-15
8642,2014-05-16
11385,2014-05-17
14015,2014-05-18
14190,2014-05-19
19517,2014-05-20
20172,2014-05-21
14021,2014-05-22
17568,2014-05-23
17292,2014-05-24
16948,2014-05-25
13859,2014-05-26
9240,2014-05-27
14333,2014-05-28
20476,2014-05-29
18633,2014-05-30
17985,2014-05-31
17441,2014-06-01
20298,2014-06-02
13181,2014-06-03
19847,2014-06-04
17146,2014-06-05
19583,2014-06-06
19545,2014-06-07
16959,2014-06-08
19917,2014-06-09
19328,2014-06-10
16544,2014-06-11
6827,2014-06-12
8330,2014-06-13
13765,2014-06-14
16225,2014-06-15
20082,2014-06-16
19885,2014-06-17
20808,2014-06-18
23603,2014-06-19
21204,2014-06-20
16144,2014-06-21
16424,2014-06-22
19344,2014-06-23
6017,2014-06-24
18202,2014-06-25
22762,2014-06-26
22242,2014-06-27
18528,2014-06-28
17092,2014-06-29
18590,2014-06-30
16015,2014-07-01
21418,2014-07-02
19773,2014-07-03
20298,2014-07-04
18473,2014-07-05
16425,2014-07-06
12873,2014-07-07
18613,2014-07-08
20499,2014-07-09
22179,2014-07-10
22347,2014-07-11
18076,2014-07-12
8302,2014-07-13
20394,2014-07-14
17022,2014-07-15
22732,2014-07-16
21568,2014-07-17
21666,2014-07-18
18747,2014-07-19
16346,2014-07-20
20529,2014-07-21
21379,2014-07-22
16406,2014-07-23
22761,2014-07-24
21138,2014-07-25
17299,2014-07-26
11674,2014-07-27
7884,2014-07-28
20014,2014-07-29
18946,2014-07-30
17556,2014-07-31
21638,2014-08-01
19277,2014-08-02
18104,2014-08-03
19895,2014-08-04
20024,2014-08-05
21498,2014-08-06
20112,2014-08-07
21596,2014-08-08
17416,2014-08-09
15972,2014-08-10
20662,2014-08-11
19237,2014-08-12
4069,2014-08-13
17348,2014-08-14
13450,2014-08-15
7529,2014-08-16
12673,2014-08-17
19012,2014-08-18
21218,2014-08-19
21304,2014-08-20
19326,2014-08-21
19678,2014-08-22
17152,2014-08-23
16015,2014-08-24
20109,2014-08-25
21367,2014-08-26
20274,2014-08-27
19936,2014-08-28
21333,2014-08-29
17099,2014-08-30
12457,2014-08-31
14072,2014-09-01
17298,2014-09-02
21408,2014-09-03
21696,2014-09-04
18809,2014-09-05
9733,2014-09-06
14419,2014-09-07
19983,2014-09-08
20412,2014-09-09
20589,2014-09-10
13756,2014-09-11
16776,2014-09-12
6051,2014-09-13
9559,2014-09-14
